categoryNo,asinNo,sellerNo,ASIN,sellerID,country,rate
0,0,0,B016MO90GW,A3VIZVBY06QYHB,HK,46194
0,1,0,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,1,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,2,B00X9XD1LK,None,NoCountry,NoFeedback
0,2,0,B00TFGVULI,A8KICS1PHF7ZO,NoCountry,111325
0,2,1,B00TFGVULI,None,NoCountry,NoFeedback
0,2,2,B00TFGVULI,A11MY3TYL9BJP7,DE,664
0,2,3,B00TFGVULI,A32200K20QA0AM,NoCountry,579
0,2,4,B00TFGVULI,AXKYEO2EE4B65,DE,2412
0,2,5,B00TFGVULI,AO9LB2O5B5F9V,DE,95
0,2,6,B00TFGVULI,A2NBAMV036UYGJ,ES,2
0,2,7,B00TFGVULI,A3JZUM3MNJ29JV,AT,85
0,2,8,B00TFGVULI,A2EET48QXHCBTF,IT,477
0,2,9,B00TFGVULI,AKSTH4FKHUW8K,IT,5
0,3,0,B00TFGWAA8,A8KICS1PHF7ZO,NoCountry,111325
0,3,1,B00TFGWAA8,A3E5LBYIZS99H6,NoCountry,44
0,3,2,B00TFGWAA8,AVNQERNP6H90Y,NoCountry,5
0,3,3,B00TFGWAA8,None,NoCountry,NoFeedback
0,3,4,B00TFGWAA8,A32200K20QA0AM,NoCountry,579
0,3,5,B00TFGWAA8,AXKYEO2EE4B65,DE,2412
0,3,6,B00TFGWAA8,AO9LB2O5B5F9V,DE,95
0,3,7,B00TFGWAA8,A11MY3TYL9BJP7,DE,664
0,3,8,B00TFGWAA8,A3S0ZLLF2YJLGX,CH,138
0,3,9,B00TFGWAA8,AZ7780AE06XDM,DE,NoFeedback
0,4,0,B00IMSG2IQ,A22H6OV6Q7XBYK,HK,26817
0,5,0,B00TFGYBYQ,None,NoCountry,NoFeedback
0,5,1,B00TFGYBYQ,A1BHN9FDGPB81H,DE,2029
0,5,2,B00TFGYBYQ,A32200K20QA0AM,NoCountry,579
0,5,3,B00TFGYBYQ,AXKYEO2EE4B65,DE,2412
0,5,4,B00TFGYBYQ,AO9LB2O5B5F9V,DE,95
0,5,5,B00TFGYBYQ,A2E0EBN9P6WGXO,DE,72
0,5,6,B00TFGYBYQ,A2NBAMV036UYGJ,ES,2
0,5,7,B00TFGYBYQ,A22AQEO4G9KSH0,ES,8
0,5,8,B00TFGYBYQ,A2EET48QXHCBTF,IT,477
0,5,9,B00TFGYBYQ,A27FTIWNB8UA5X,IT,10
0,6,0,B01794WKVQ,A2X2NO3429IQ5W,DE,28581
0,7,0,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,1,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,2,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,3,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,4,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,5,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,6,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,7,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,8,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,9,B010RWAIAC,None,NoCountry,NoFeedback
0,8,0,B00X9XCZQ2,None,NoCountry,NoFeedback
0,9,0,B0117RGGDE,None,NoCountry,NoFeedback
0,10,0,B0117RGQ0M,None,NoCountry,NoFeedback
0,11,0,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,1,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,2,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,3,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,4,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,5,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,6,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,7,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,8,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,9,B00XPUSAJ0,None,NoCountry,NoFeedback
0,12,0,B0141208EA,A8KICS1PHF7ZO,NoCountry,111325
0,12,1,B0141208EA,AE44XMBY0M2WY,NoCountry,NoFeedback
0,12,2,B0141208EA,A4U4LJFJ2FE0V,DE,24
0,12,3,B0141208EA,A3LG5FQC4QWS4,DE,1458
0,12,4,B0141208EA,A24JPDNDSDCQ9,DE,1278
0,12,5,B0141208EA,None,NoCountry,NoFeedback
0,12,6,B0141208EA,A1907HV9NECS1E,DE,2423
0,12,7,B0141208EA,A3BCA86UUVV4OB,DE,642
0,12,8,B0141208EA,AOC3G2PBG3IY7,DE,17165
0,12,9,B0141208EA,A1X0M9U5WW1195,DE,22817
0,13,0,B00592OIRA,A8KICS1PHF7ZO,NoCountry,111325
0,13,1,B00592OIRA,None,NoCountry,NoFeedback
0,13,2,B00592OIRA,ACMIUR0TOLYDM,DE,80
0,13,3,B00592OIRA,A4JBMX2FM5537,DE,8301
0,13,4,B00592OIRA,A3DWL7Z8V42IK3,DE,6850
0,13,5,B00592OIRA,AOC3G2PBG3IY7,DE,17165
0,13,6,B00592OIRA,A3BCA86UUVV4OB,DE,642
0,13,7,B00592OIRA,A1X0M9U5WW1195,DE,22817
0,13,8,B00592OIRA,A24JPDNDSDCQ9,DE,1278
0,13,9,B00592OIRA,A133RA3ZUAU4I7,DE,23003
0,14,0,B0107VK7LI,A8KICS1PHF7ZO,NoCountry,111325
0,14,1,B0107VK7LI,A3VIZVBY06QYHB,HK,46193
0,15,0,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,1,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,2,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,3,B01F91ZIGA,A9M0EGF97CWIX,CN,2724
0,16,0,B005GCM8PC,A8KICS1PHF7ZO,NoCountry,111325
0,16,1,B005GCM8PC,None,NoCountry,NoFeedback
0,16,2,B005GCM8PC,A11P8T8QSCOMKR,DE,909
0,16,3,B005GCM8PC,AFR2F2TOAMO2P,DE,1429
0,16,4,B005GCM8PC,A32LNRBTF2Y7HW,DE,203
0,16,5,B005GCM8PC,A1R5UP7PF6F47I,DE,206
0,16,6,B005GCM8PC,A1CYBV56SAM7LI,DE,97
0,16,7,B005GCM8PC,APR0RMB3RLRLT,DE,428
0,16,8,B005GCM8PC,AGU7DAWFUEFU8,DE,NoFeedback
0,16,9,B005GCM8PC,A133RA3ZUAU4I7,DE,23003
0,17,0,B00ZY1J1JG,A8KICS1PHF7ZO,NoCountry,111325
0,17,1,B00ZY1J1JG,None,NoCountry,NoFeedback
0,17,2,B00ZY1J1JG,A1BHN9FDGPB81H,DE,2029
0,17,3,B00ZY1J1JG,A8F1TXUMJY6JO,DE,355
0,17,4,B00ZY1J1JG,A1HKWWEIBP4EC1,DE,3145
0,17,5,B00ZY1J1JG,AREMA033HOBL2,NoCountry,47
0,17,6,B00ZY1J1JG,AZGKBCW8ULENM,NoCountry,685
0,17,7,B00ZY1J1JG,A1907HV9NECS1E,DE,2423
0,17,8,B00ZY1J1JG,A3LG5FQC4QWS4,DE,1458
0,17,9,B00ZY1J1JG,A24JPDNDSDCQ9,DE,1278
0,18,0,B01L8C4F4K,None,NoCountry,NoFeedback
0,19,0,B00IBCL1IY,A3VIZVBY06QYHB,HK,46194
0,0,0,B016MO90GW,A3VIZVBY06QYHB,HK,46194
0,1,0,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,1,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,2,B00X9XD1LK,None,NoCountry,NoFeedback
0,2,0,B00TFGVULI,A8KICS1PHF7ZO,NoCountry,111325
0,2,1,B00TFGVULI,None,NoCountry,NoFeedback
0,2,2,B00TFGVULI,A11MY3TYL9BJP7,DE,664
0,2,3,B00TFGVULI,A32200K20QA0AM,NoCountry,579
0,2,4,B00TFGVULI,AXKYEO2EE4B65,DE,2412
0,2,5,B00TFGVULI,AO9LB2O5B5F9V,DE,95
0,2,6,B00TFGVULI,A2NBAMV036UYGJ,ES,2
0,2,7,B00TFGVULI,A3JZUM3MNJ29JV,AT,85
0,2,8,B00TFGVULI,A2EET48QXHCBTF,IT,477
0,2,9,B00TFGVULI,AKSTH4FKHUW8K,IT,5
0,3,0,B00TFGWAA8,A8KICS1PHF7ZO,NoCountry,111325
0,3,1,B00TFGWAA8,A3E5LBYIZS99H6,NoCountry,44
0,3,2,B00TFGWAA8,AVNQERNP6H90Y,NoCountry,5
0,3,3,B00TFGWAA8,None,NoCountry,NoFeedback
0,3,4,B00TFGWAA8,A32200K20QA0AM,NoCountry,579
0,3,5,B00TFGWAA8,AXKYEO2EE4B65,DE,2412
0,3,6,B00TFGWAA8,AO9LB2O5B5F9V,DE,95
0,3,7,B00TFGWAA8,A11MY3TYL9BJP7,DE,664
0,3,8,B00TFGWAA8,A3S0ZLLF2YJLGX,CH,138
0,3,9,B00TFGWAA8,AZ7780AE06XDM,DE,NoFeedback
0,4,0,B00IMSG2IQ,A22H6OV6Q7XBYK,HK,26817
0,5,0,B00TFGYBYQ,None,NoCountry,NoFeedback
0,5,1,B00TFGYBYQ,A1BHN9FDGPB81H,DE,2029
0,5,2,B00TFGYBYQ,A32200K20QA0AM,NoCountry,579
0,5,3,B00TFGYBYQ,AXKYEO2EE4B65,DE,2412
0,5,4,B00TFGYBYQ,AO9LB2O5B5F9V,DE,95
0,5,5,B00TFGYBYQ,A2E0EBN9P6WGXO,DE,72
0,5,6,B00TFGYBYQ,A2NBAMV036UYGJ,ES,2
0,5,7,B00TFGYBYQ,A22AQEO4G9KSH0,ES,8
0,5,8,B00TFGYBYQ,A2EET48QXHCBTF,IT,477
0,5,9,B00TFGYBYQ,A27FTIWNB8UA5X,IT,10
0,6,0,B01794WKVQ,A2X2NO3429IQ5W,DE,28581
0,7,0,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,1,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,2,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,3,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,4,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,5,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,6,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,7,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,8,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,9,B010RWAIAC,None,NoCountry,NoFeedback
0,8,0,B00X9XCZQ2,None,NoCountry,NoFeedback
0,9,0,B0117RGGDE,None,NoCountry,NoFeedback
0,10,0,B0117RGQ0M,None,NoCountry,NoFeedback
0,11,0,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,1,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,2,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,3,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,4,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,5,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,6,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,7,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,8,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,9,B00XPUSAJ0,None,NoCountry,NoFeedback
0,12,0,B0141208EA,A8KICS1PHF7ZO,NoCountry,111325
0,12,1,B0141208EA,AE44XMBY0M2WY,NoCountry,NoFeedback
0,12,2,B0141208EA,A4U4LJFJ2FE0V,DE,24
0,12,3,B0141208EA,A3LG5FQC4QWS4,DE,1458
0,12,4,B0141208EA,A24JPDNDSDCQ9,DE,1278
0,12,5,B0141208EA,None,NoCountry,NoFeedback
0,12,6,B0141208EA,A1907HV9NECS1E,DE,2423
0,12,7,B0141208EA,A3BCA86UUVV4OB,DE,642
0,12,8,B0141208EA,AOC3G2PBG3IY7,DE,17165
0,12,9,B0141208EA,A1X0M9U5WW1195,DE,22817
0,13,0,B00592OIRA,A8KICS1PHF7ZO,NoCountry,111325
0,13,1,B00592OIRA,None,NoCountry,NoFeedback
0,13,2,B00592OIRA,ACMIUR0TOLYDM,DE,80
0,13,3,B00592OIRA,A4JBMX2FM5537,DE,8301
0,13,4,B00592OIRA,A3DWL7Z8V42IK3,DE,6850
0,13,5,B00592OIRA,AOC3G2PBG3IY7,DE,17165
0,13,6,B00592OIRA,A3BCA86UUVV4OB,DE,642
0,13,7,B00592OIRA,A1X0M9U5WW1195,DE,22817
0,13,8,B00592OIRA,A24JPDNDSDCQ9,DE,1278
0,13,9,B00592OIRA,A133RA3ZUAU4I7,DE,23003
0,14,0,B0107VK7LI,A8KICS1PHF7ZO,NoCountry,111325
0,14,1,B0107VK7LI,A3VIZVBY06QYHB,HK,46194
0,15,0,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,1,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,2,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,3,B01F91ZIGA,A9M0EGF97CWIX,CN,2724
0,16,0,B005GCM8PC,A8KICS1PHF7ZO,NoCountry,111325
0,16,1,B005GCM8PC,None,NoCountry,NoFeedback
0,16,2,B005GCM8PC,A11P8T8QSCOMKR,DE,909
0,16,3,B005GCM8PC,AFR2F2TOAMO2P,DE,1429
0,16,4,B005GCM8PC,A32LNRBTF2Y7HW,DE,203
0,16,5,B005GCM8PC,A1R5UP7PF6F47I,DE,206
0,16,6,B005GCM8PC,A1CYBV56SAM7LI,DE,97
0,16,7,B005GCM8PC,APR0RMB3RLRLT,DE,428
0,16,8,B005GCM8PC,AGU7DAWFUEFU8,DE,NoFeedback
0,16,9,B005GCM8PC,A133RA3ZUAU4I7,DE,23003
0,17,0,B00ZY1J1JG,A8KICS1PHF7ZO,NoCountry,111325
0,17,1,B00ZY1J1JG,None,NoCountry,NoFeedback
0,17,2,B00ZY1J1JG,A1BHN9FDGPB81H,DE,2029
0,17,3,B00ZY1J1JG,A8F1TXUMJY6JO,DE,355
0,17,4,B00ZY1J1JG,A1HKWWEIBP4EC1,DE,3145
0,17,5,B00ZY1J1JG,AREMA033HOBL2,NoCountry,47
0,17,6,B00ZY1J1JG,AZGKBCW8ULENM,NoCountry,685
0,17,7,B00ZY1J1JG,A1907HV9NECS1E,DE,2423
0,17,8,B00ZY1J1JG,A3LG5FQC4QWS4,DE,1458
0,17,9,B00ZY1J1JG,A24JPDNDSDCQ9,DE,1278
0,18,0,B01L8C4F4K,None,NoCountry,NoFeedback
0,19,0,B00IBCL1IY,A3VIZVBY06QYHB,HK,46194
0,0,0,B016MO90GW,A3VIZVBY06QYHB,HK,46194
0,1,0,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,1,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,2,B00X9XD1LK,None,NoCountry,NoFeedback
0,2,0,B00TFGVULI,A8KICS1PHF7ZO,NoCountry,111325
0,2,1,B00TFGVULI,None,NoCountry,NoFeedback
0,2,2,B00TFGVULI,A11MY3TYL9BJP7,DE,664
0,2,3,B00TFGVULI,A32200K20QA0AM,NoCountry,579
0,2,4,B00TFGVULI,AXKYEO2EE4B65,DE,2412
0,2,5,B00TFGVULI,AO9LB2O5B5F9V,DE,95
0,2,6,B00TFGVULI,A2NBAMV036UYGJ,ES,2
0,2,7,B00TFGVULI,A3JZUM3MNJ29JV,AT,85
0,2,8,B00TFGVULI,A2EET48QXHCBTF,IT,477
0,2,9,B00TFGVULI,AKSTH4FKHUW8K,IT,5
0,3,0,B00TFGWAA8,A8KICS1PHF7ZO,NoCountry,111325
0,3,1,B00TFGWAA8,A3E5LBYIZS99H6,NoCountry,44
0,3,2,B00TFGWAA8,AVNQERNP6H90Y,NoCountry,5
0,3,3,B00TFGWAA8,None,NoCountry,NoFeedback
0,3,4,B00TFGWAA8,A32200K20QA0AM,NoCountry,579
0,3,5,B00TFGWAA8,AXKYEO2EE4B65,DE,2412
0,3,6,B00TFGWAA8,AO9LB2O5B5F9V,DE,95
0,3,7,B00TFGWAA8,A11MY3TYL9BJP7,DE,664
0,3,8,B00TFGWAA8,A3S0ZLLF2YJLGX,CH,138
0,3,9,B00TFGWAA8,AZ7780AE06XDM,DE,NoFeedback
0,4,0,B00IMSG2IQ,A22H6OV6Q7XBYK,HK,26817
0,5,0,B00TFGYBYQ,None,NoCountry,NoFeedback
0,5,1,B00TFGYBYQ,A1BHN9FDGPB81H,DE,2029
0,5,2,B00TFGYBYQ,A32200K20QA0AM,NoCountry,579
0,5,3,B00TFGYBYQ,AXKYEO2EE4B65,DE,2412
0,5,4,B00TFGYBYQ,AO9LB2O5B5F9V,DE,95
0,5,5,B00TFGYBYQ,A2E0EBN9P6WGXO,DE,72
0,5,6,B00TFGYBYQ,A2NBAMV036UYGJ,ES,2
0,5,7,B00TFGYBYQ,A22AQEO4G9KSH0,ES,8
0,5,8,B00TFGYBYQ,A2EET48QXHCBTF,IT,477
0,5,9,B00TFGYBYQ,A27FTIWNB8UA5X,IT,10
0,6,0,B01794WKVQ,A2X2NO3429IQ5W,DE,28581
0,7,0,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,1,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,2,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,3,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,4,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,5,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,6,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,7,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,8,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,9,B010RWAIAC,None,NoCountry,NoFeedback
0,8,0,B00X9XCZQ2,None,NoCountry,NoFeedback
0,9,0,B0117RGGDE,None,NoCountry,NoFeedback
0,10,0,B0117RGQ0M,None,NoCountry,NoFeedback
0,11,0,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,1,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,2,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,3,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,4,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,5,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,6,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,7,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,8,B00XPUSAJ0,A8KICS1PHF7ZO,NoCountry,111325
0,11,9,B00XPUSAJ0,None,NoCountry,NoFeedback
0,12,0,B0141208EA,A8KICS1PHF7ZO,NoCountry,111325
0,12,1,B0141208EA,AE44XMBY0M2WY,NoCountry,NoFeedback
0,12,2,B0141208EA,A4U4LJFJ2FE0V,DE,24
0,12,3,B0141208EA,A3LG5FQC4QWS4,DE,1458
0,12,4,B0141208EA,A24JPDNDSDCQ9,DE,1278
0,12,5,B0141208EA,None,NoCountry,NoFeedback
0,12,6,B0141208EA,A1907HV9NECS1E,DE,2423
0,12,7,B0141208EA,A3BCA86UUVV4OB,DE,642
0,12,8,B0141208EA,AOC3G2PBG3IY7,DE,17165
0,12,9,B0141208EA,A1X0M9U5WW1195,DE,22817
0,13,0,B00592OIRA,A8KICS1PHF7ZO,NoCountry,111325
0,13,1,B00592OIRA,None,NoCountry,NoFeedback
0,13,2,B00592OIRA,A133RA3ZUAU4I7,DE,23003
0,13,3,B00592OIRA,ACMIUR0TOLYDM,DE,80
0,13,4,B00592OIRA,A4JBMX2FM5537,DE,8301
0,13,5,B00592OIRA,A3DWL7Z8V42IK3,DE,6850
0,13,6,B00592OIRA,AOC3G2PBG3IY7,DE,17165
0,13,7,B00592OIRA,A3BCA86UUVV4OB,DE,642
0,13,8,B00592OIRA,A1X0M9U5WW1195,DE,22817
0,13,9,B00592OIRA,A24JPDNDSDCQ9,DE,1278
0,14,0,B0107VK7LI,A8KICS1PHF7ZO,NoCountry,111325
0,14,1,B0107VK7LI,A3VIZVBY06QYHB,HK,46194
0,15,0,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,1,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,2,B01F91ZIGA,A8KICS1PHF7ZO,NoCountry,111325
0,15,3,B01F91ZIGA,A9M0EGF97CWIX,CN,2724
0,16,0,B005GCM8PC,A8KICS1PHF7ZO,NoCountry,111325
0,16,1,B005GCM8PC,None,NoCountry,NoFeedback
0,16,2,B005GCM8PC,A11P8T8QSCOMKR,DE,909
0,16,3,B005GCM8PC,AFR2F2TOAMO2P,DE,1429
0,16,4,B005GCM8PC,A32LNRBTF2Y7HW,DE,203
0,16,5,B005GCM8PC,A1R5UP7PF6F47I,DE,206
0,16,6,B005GCM8PC,A1CYBV56SAM7LI,DE,97
0,16,7,B005GCM8PC,APR0RMB3RLRLT,DE,428
0,16,8,B005GCM8PC,AGU7DAWFUEFU8,DE,NoFeedback
0,16,9,B005GCM8PC,A133RA3ZUAU4I7,DE,23003
0,17,0,B00ZY1J1JG,A8KICS1PHF7ZO,NoCountry,111325
0,17,1,B00ZY1J1JG,None,NoCountry,NoFeedback
0,17,2,B00ZY1J1JG,A1BHN9FDGPB81H,DE,2029
0,17,3,B00ZY1J1JG,A8F1TXUMJY6JO,DE,355
0,17,4,B00ZY1J1JG,A1HKWWEIBP4EC1,DE,3145
0,17,5,B00ZY1J1JG,AREMA033HOBL2,NoCountry,47
0,17,6,B00ZY1J1JG,AZGKBCW8ULENM,NoCountry,NoFeedback
0,17,7,B00ZY1J1JG,A1907HV9NECS1E,NoCountry,NoFeedback
0,17,8,B00ZY1J1JG,A3LG5FQC4QWS4,DE,1458
0,17,9,B00ZY1J1JG,A24JPDNDSDCQ9,DE,1278
31,12,0,B01L27OWJO,None,NoCountry,NoFeedback
31,12,1,B01L27OWJO,A24JPDNDSDCQ9,NoCountry,NoFeedback
31,12,2,B01L27OWJO,A1YJU9RIMEUNF2,NoCountry,NoFeedback
31,12,3,B01L27OWJO,A2N8G12PC7U0FI,NoCountry,NoFeedback
31,12,4,B01L27OWJO,AZLS81A4R7CR4,NoCountry,NoFeedback
31,12,5,B01L27OWJO,A3P98T83Q2GFN1,NoCountry,NoFeedback
31,12,6,B01L27OWJO,A3LG5FQC4QWS4,DE,1458
31,12,7,B01L27OWJO,A1J9D8DFCCB4TN,NoCountry,NoFeedback
31,12,8,B01L27OWJO,A3NOUUHLVV3QXQ,NoCountry,NoFeedback
31,12,9,B01L27OWJO,A1HTKBNYG718CQ,NoCountry,NoFeedback
